user_id,state_code,age,sex,race_ethnicity,party,is_supersharer,is_superconsumer,tweetsDuringStudy,total_exposures,n_exp,total_shares,n_share
3485332,AL,33.3,Female,Caucasian,No Party/No Info,FALSE,FALSE,1570,12552,333,58,3
658759,AL,52.6,Female,Caucasian,No Party/No Info,FALSE,FALSE,202,5743,124,11,2
1481342,AL,59,Female,Caucasian,No Party/No Info,FALSE,TRUE,427,160376,17872,23,1
2163661,AL,25.5,Female,Caucasian,No Party/No Info,FALSE,FALSE,66,3063,670,1,1
3297927,AL,27.6,Male,Caucasian,No Party/No Info,FALSE,FALSE,592,805,60,3,1
256137,AR,32.5,Female,Caucasian,No Party/No Info,FALSE,FALSE,126,18228,2623,17,4
529765,AR,66.8,Male,Caucasian,No Party/No Info,FALSE,FALSE,2727,10657,26,187,2
1507565,AR,47.4,Female,Caucasian,No Party/No Info,FALSE,FALSE,171,9589,1083,3,1
2023194,AZ,53.3,Male,Caucasian,Democrat,FALSE,TRUE,5457,171403,8184,322,37
532902,AZ,55.6,Female,Other,Republican,FALSE,TRUE,718,132558,21553,96,18
1800942,AZ,57.8,Male,Caucasian,Democrat,TRUE,FALSE,8229,25322,657,382,14
192179,AZ,69.7,Female,Caucasian,Democrat,FALSE,FALSE,1739,17030,146,50,2
3497463,AZ,35.8,Male,Caucasian,Independent,FALSE,FALSE,297,9785,642,5,2
1055795,AZ,64.4,Female,Caucasian,Republican,FALSE,FALSE,1308,8749,912,5,1
2786703,AZ,44.8,Female,Caucasian,Independent,FALSE,FALSE,1767,3301,1,79,1
2668438,CA,53.4,Female,Caucasian,Independent,TRUE,TRUE,3150,121114,12064,554,91
1849731,CA,48.4,Female,Caucasian,Republican,TRUE,FALSE,8942,18209,2889,391,50
1477149,CA,57.2,Male,Caucasian,Republican,FALSE,TRUE,1332,269081,51637,269,48
3183897,CA,60.1,Male,Caucasian,Democrat,FALSE,TRUE,7640,191559,39034,326,46
3347783,CA,54.6,Female,Other,Other,TRUE,TRUE,16298,127923,12380,684,27
632710,CA,62.9,Female,Caucasian,Democrat,FALSE,FALSE,6557,11032,315,86,14
3457270,CA,67.3,Male,Caucasian,Republican,FALSE,TRUE,682,102413,12922,64,13
1426581,CA,23.3,Female,Caucasian,Democrat,FALSE,FALSE,2311,164,1,59,5
2562013,CA,51,Male,Caucasian,Democrat,FALSE,FALSE,1373,18011,202,81,5
2798325,CA,55,Female,Caucasian,Democrat,FALSE,FALSE,1628,6029,102,231,4
60264,CA,49.9,Female,Caucasian,Democrat,TRUE,FALSE,5881,21995,48,727,3
942625,CA,52.7,Male,Caucasian,Independent,FALSE,FALSE,366,34884,4789,23,3
1253546,CA,40,Male,Other,Democrat,FALSE,FALSE,10156,2733,16,203,3
112016,CA,49.7,Female,Caucasian,Republican,FALSE,FALSE,375,2012,27,27,2
338236,CA,63,Female,Caucasian,Independent,FALSE,TRUE,11064,55881,1781,64,2
1160239,CA,31.9,Female,Caucasian,Democrat,FALSE,FALSE,1439,17622,183,29,2
1300768,CA,30.3,Male,Caucasian,Republican,FALSE,FALSE,3483,24071,1239,21,2
1311601,CA,47.5,Female,Caucasian,Democrat,FALSE,FALSE,5862,18338,53,84,2
1392553,CA,60.3,Female,Caucasian,Democrat,FALSE,FALSE,20122,10395,258,206,2
2615591,CA,30,Male,Caucasian,Democrat,FALSE,FALSE,2571,17536,364,120,2
2930653,CA,33.3,Male,Caucasian,Republican,FALSE,FALSE,159,694,398,9,2
121586,CA,52.4,Female,Caucasian,Republican,FALSE,FALSE,192,519,58,1,1
195474,CA,51.1,Female,Caucasian,Democrat,FALSE,FALSE,416,41033,2050,20,1
253973,CA,72.1,Male,Caucasian,Other,FALSE,FALSE,21,6149,332,6,1
466833,CA,50.6,Female,Caucasian,Independent,FALSE,FALSE,1358,3326,161,24,1
572826,CA,25,Female,Caucasian,Democrat,FALSE,FALSE,1632,6834,18,14,1
834620,CA,48.6,Female,Caucasian,Republican,FALSE,FALSE,328,10091,685,9,1
874381,CA,38.6,Female,Caucasian,Democrat,FALSE,FALSE,521,3053,4,22,1
996904,CA,60.5,Male,Caucasian,Independent,FALSE,FALSE,11270,726,2,103,1
1186844,CA,49.9,Female,Caucasian,Republican,FALSE,TRUE,668,67228,10103,16,1
1274366,CA,48.5,Male,Caucasian,Democrat,FALSE,FALSE,471,20719,78,28,1
1332870,CA,42,Female,Caucasian,Democrat,TRUE,FALSE,4482,28234,261,436,1
1684993,CA,37.6,Male,Caucasian,Independent,FALSE,FALSE,2129,9943,54,100,1
1688583,CA,47.5,Male,Caucasian,Republican,FALSE,FALSE,2587,27940,7978,20,1
2013625,CA,70.1,Male,Caucasian,Democrat,FALSE,TRUE,1467,52537,380,42,1
2059347,CA,50.4,Female,Caucasian,Republican,FALSE,FALSE,209,7504,412,6,1
2296485,CA,61.3,Male,Caucasian,Democrat,FALSE,FALSE,145,2223,0,16,1
2351255,CA,37,Male,Caucasian,Democrat,FALSE,FALSE,932,1357,2,36,1
2535248,CA,29,Male,Caucasian,Other,FALSE,FALSE,7328,1219,36,52,1
2784399,CA,65.3,Male,Caucasian,Republican,FALSE,FALSE,120,8316,1026,6,1
2998405,CA,48.2,Female,Caucasian,Democrat,FALSE,FALSE,1052,3835,24,128,1
